,algorithm,seed,Raw Complexity Reduction,Dynamics Awareness,Diversity,Orthogonality,Sparsity,Complexity Reduction
0,DRQN-FTA-Gridworld,0,0.011146835,0.602045476436615,0.714208779717456,0.6207535266876221,0.85,0.9957126550166236
1,DRQN-FTA-Gridworld,1,0.013914604,0.5893812477588654,0.690798785082809,0.4802469313144684,0.85,0.9946481034612006
2,DRQN-FTA-Gridworld,2,0.011292072,0.6137725710868835,0.719066771155118,0.5624100565910339,0.85,0.9956567933192584
3,DRQN-FTA-Gridworld,3,0.010784564,0.6172007322311401,0.7012405319558392,0.5464285612106323,0.85,0.9958519932910731
4,DRQN-FTA-Gridworld,4,0.012877462,0.6048884391784668,0.6949357127553096,0.5273736119270325,0.85,0.9950470136048197
5,DRQN-ReLU-Gridworld,0,0.07480642,0.838997945189476,0.5638877247913834,0.1312272399663925,0.3515,0.9712276238491605
6,DRQN-ReLU-Gridworld,1,0.14600116,0.7392871975898743,0.475147398273075,0.0453918725252151,0.61728125,0.9438443880354266
7,DRQN-ReLU-Gridworld,2,0.115479484,0.8056516200304031,0.338621454209986,0.1485970467329025,0.58803125,0.9555837700647504
8,DRQN-ReLU-Gridworld,3,0.15075494,0.804376870393753,0.4209688471175187,0.1928899437189102,0.67584375,0.9420159681444822
9,DRQN-ReLU-Gridworld,4,0.10614565,0.817662850022316,0.4531375361129972,0.0993315950036048,0.494125,0.9591737905840787
10,DRQNAux-FTA-Gridworld,0,0.012801628,0.5863060355186462,0.6944542930927835,0.568639874458313,0.85,0.9950761812133354
11,DRQNAux-FTA-Gridworld,1,0.013373107,0.5831743478775024,0.6656289120061326,0.4728520512580871,0.85,0.9948563764325384
12,DRQNAux-FTA-Gridworld,2,0.013087309,0.586729884147644,0.6862859973679766,0.5334006547927856,0.85,0.9949663013234658
13,DRQNAux-FTA-Gridworld,3,0.012309468,0.5886723101139069,0.7003507693477682,0.5384343266487122,0.85,0.9952654779695015
14,DRQNAux-FTA-Gridworld,4,0.012856352,0.5935254395008087,0.6782082113309729,0.5679267644882202,0.85,0.9950551330263954
15,DRQNAux-ReLU-Gridworld,0,0.080023386,0.8218949884176254,0.4977582138477718,0.2317953258752823,0.52078125,0.9692210513100904
16,DRQNAux-ReLU-Gridworld,1,0.06596967,0.8025474846363068,0.5718962930861642,0.1616816818714141,0.4084375,0.9746264537216625
17,DRQNAux-ReLU-Gridworld,2,0.07203744,0.8030427843332291,0.565168288846093,0.2039023488759994,0.50571875,0.9722926411847601
18,DRQNAux-ReLU-Gridworld,3,0.06991841,0.82078617811203,0.5680363620808337,0.6308066248893738,0.7679375,0.973107671876443
19,DRQNAux-ReLU-Gridworld,4,0.07446744,0.8070231378078461,0.5638539550097968,0.2277485579252243,0.514625,0.9713580038361671
20,DQN-ReLU-A,0,1.7965363,0.4414442777633667,0.4582176174073551,0.004035759717226,0.8360272988505747,0.30900826169414986
21,DQN-ReLU-A,1,1.1547441,0.4512935280799866,0.4637557274289098,0.0069591552019119,0.7059686302681992,0.5558572164907414
22,DQN-ReLU-A,2,2.3677619,0.4245546460151672,0.3747606313476447,0.0090520344674587,0.7685883620689655,0.08930094472604722
23,DQN-ReLU-A,3,0.92922705,0.5594892799854279,0.5271668220270569,0.0161139816045761,0.6387990900383141,0.6425965817889028
24,DQN-ReLU-A,4,2.5999389,0.3697655797004699,0.5106622996628306,0.0047457027249038,0.8054956896551724,0.0
25,DQNAux-ReLU-A,0,0.1647513,0.6509316265583038,0.4823130768881318,0.3251053094863891,0.7287176724137931,0.9366326262513323
26,DQNAux-ReLU-A,1,0.09893645,0.6090999245643616,0.4528468415481065,0.2442550808191299,0.8897569444444444,0.9619466249764562
27,DQNAux-ReLU-A,2,0.52172905,0.4635751843452453,0.4459240324394991,0.0646125674247741,0.7845725574712644,0.799330265030459
28,DQNAux-ReLU-A,3,0.1561136,0.6933635175228119,0.3231779941109206,0.4927616119384765,0.8383920019157088,0.9399548966323785
29,DQNAux-ReLU-A,4,0.147278,0.7064485549926758,0.5845294101951997,0.5432508587837219,0.7684087643678161,0.9433532841867938
30,DQN-FTA-A,0,0.009733268,0.2707433700561523,0.6238729850444285,0.9518120288848876,0.9986530172413792,0.9962563474087794
31,DQN-FTA-A,1,0.0021941294,0.2744808197021484,0.9243393284773695,0.7984565496444702,0.9994522270114944,0.9991560842449029
32,DQN-FTA-A,2,0.060887475,0.2374478578567505,0.5591169846564699,0.9583120346069336,0.9980992576628352,0.9765811900425814
33,DQN-FTA-A,3,0.054751914,0.2199341654777526,0.6753030613408622,0.9464314579963684,0.9981411637931036,0.978941076653763
34,DQN-FTA-A,4,0.009987294,0.2554771900177002,0.7455136716176284,0.9379119873046876,0.9991753472222222,0.996158642805029
