,Environment,Algorithm,Hyperparameter,Value,AUC,Return,P_AUC
0,DRQN-5.json,DRQN-5,optimizer.alpha,3e-05,1.06467144121202,5323.357206060099,1.190432879266684
1,DRQN-7.json,DRQN-7,optimizer.alpha,3e-05,1.079290271606462,5396.451358032311,1.2181336085841128
2,DRQN-3.json,DRQN-3,optimizer.alpha,0.0001,1.0065416701412686,5032.7083507063435,1.1517574123732501
