,Environment,Algorithm,Hyperparameter,Value,AUC,Return,P_AUC
0,DRQN-3.json,DRQN-3,optimizer.alpha,0.0003,0.7398392855019319,3699.196427509659,0.9006677784289636
1,DRQN-7.json,DRQN-7,optimizer.alpha,0.001,0.9430238264187654,4715.119132093826,1.0492792409917622
2,DRQN-5.json,DRQN-5,optimizer.alpha,0.001,0.8282239836731478,4141.119918365739,0.8895323639464902
