,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return
0,transfer,DQN-ReLU-transfer-A,-1,optimizer.alpha,0.001,9.986,4123.6
1,transfer,DQN-ReLU-vf5-transfer-E,27,optimizer.alpha,0.0001,9.42,4347.0
2,transfer,DQN-ReLU-transfer-B,171,optimizer.alpha,0.001,7.05,2418.4
3,transfer,DQN-ReLU-transfer-C,170,optimizer.alpha,0.0003,4.292,1176.0
4,transfer,DQN-ReLU-vf5-transfer-D,119,optimizer.alpha,0.0003,9.297999999999998,4276.2
5,transfer,DQN-ReLU-vf5-transfer-C,170,optimizer.alpha,0.0001,8.815999999999999,3774.6
6,transfer,DQN-ReLU-vf5-transfer-B,171,optimizer.alpha,0.0003,9.468,4244.0
7,transfer,DQN-ReLU-vf5-transfer-A,-1,optimizer.alpha,0.0003,9.575999999999999,4031.6
8,transfer,DQN-ReLU-transfer-F,48,optimizer.alpha,0.001,9.95,8790.6
9,transfer,DQN-ReLU-vf5-transfer-F,48,optimizer.alpha,0.0003,9.959999999999999,9475.4
10,transfer,DQN-ReLU-transfer-D,119,optimizer.alpha,0.001,6.646000000000001,2467.8
11,transfer,DQN-ReLU-transfer-E,27,optimizer.alpha,0.001,9.624,4263.8
12,scratch,DQN-ReLU-scratch-C,170,optimizer.alpha,0.0001,8.298,3571.8
13,scratch,DQN-ReLU-scratch-B,171,optimizer.alpha,0.0001,8.806000000000001,3893.4
14,scratch,DQNAux-ReLU-vf5-scratch-F,48,optimizer.alpha,0.0003,9.475999999999999,8318.4
15,scratch,DQN-ReLU-scratch-E,27,optimizer.alpha,0.0001,9.388,4342.2
16,scratch,DQNAux-ReLU-vf5-scratch-A,-1,optimizer.alpha,0.001,7.856,2961.4
17,scratch,DQN-ReLU-scratch-D,119,optimizer.alpha,0.0003,9.096,4163.2
18,scratch,DQNAux-ReLU-vf5-scratch-B,171,optimizer.alpha,0.0001,8.46,3461.2
19,scratch,DQNAux-ReLU-vf5-scratch-C,170,optimizer.alpha,0.0003,8.434000000000001,3330.0
20,scratch,DQN-ReLU-scratch-A,-1,optimizer.alpha,0.0003,8.08,3364.8
21,scratch,DQNAux-ReLU-vf5-scratch-E,27,optimizer.alpha,0.0003,8.878,3720.4
22,scratch,DQN-ReLU-scratch-F,48,optimizer.alpha,0.0003,9.668000000000001,9094.8
23,scratch,DQNAux-ReLU-vf5-scratch-D,119,optimizer.alpha,0.0001,8.524000000000001,3503.8
24,pretrain,DQN-ReLU-A,-1,optimizer.alpha,0.0001,,260.0
25,pretrain,DQNAux-ReLU-A,-1,optimizer.alpha,0.001,,265.8
