,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return,Successes
42,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-40,40,optimizer.alpha,0.0003,9.044,7152.8,1.0
43,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-15,15,optimizer.alpha,0.0001,9.032,5047.8,1.0
44,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-5,5,optimizer.alpha,0.0001,8.150000000000002,3808.0,1.0
45,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-90,90,optimizer.alpha,0.0001,9.318000000000001,7793.2,1.0
46,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-75,75,optimizer.alpha,0.0003,8.644,5309.0,1.0
47,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-150,150,optimizer.alpha,0.0001,8.370000000000001,4401.0,1.0
48,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-155,155,optimizer.alpha,0.0001,8.242,3637.6,1.0
49,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-165,165,optimizer.alpha,0.0001,8.3,4152.6,1.0
50,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-55,55,optimizer.alpha,0.0001,9.026,7026.2,1.0
51,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-15,15,optimizer.alpha,0.0003,8.6,4635.4,1.0
52,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-10,10,optimizer.alpha,0.0001,7.964,3269.8,1.0
53,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-125,125,optimizer.alpha,0.0003,8.254,4315.6,1.0
54,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-95,95,optimizer.alpha,0.0001,8.662,5064.4,1.0
55,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-45,45,optimizer.alpha,0.0003,9.108,5939.4,1.0
56,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-110,110,optimizer.alpha,0.0001,8.78,7058.0,1.0
57,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-35,35,optimizer.alpha,0.0001,9.03,5409.0,1.0
58,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-5,5,optimizer.alpha,0.0001,7.6019999999999985,3447.0,1.0
59,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-150,150,optimizer.alpha,0.0001,8.268,4323.4,0.9996604414261461
60,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-50,50,optimizer.alpha,0.0001,9.006,7505.4,1.0
61,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-120,120,optimizer.alpha,0.0003,7.898000000000001,3394.8,1.0
62,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-25,25,optimizer.alpha,0.0003,8.716,4942.4,1.0
63,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-20,20,optimizer.alpha,0.0003,8.309999999999999,5310.2,1.0
64,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-60,60,optimizer.alpha,0.0001,8.604000000000001,5552.4,1.0
65,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-60,60,optimizer.alpha,0.0003,8.514,5240.8,1.0
66,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-85,85,optimizer.alpha,0.0001,8.284,4084.2,0.9996247654784239
67,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-135,135,optimizer.alpha,0.0001,8.222,4889.2,1.0
68,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-ReLU-Gridworld-30,30,optimizer.alpha,0.0001,8.93,5180.2,1.0
69,gridworld_drqn_2_16_scratch_hyper_sweep,DRQN-FTA-Gridworld-55,55,optimizer.alpha,0.0003,9.038,7008.2,1.0
