,Environment,Algorithm,Steps,Run,AUC,Return,P_AUC
0,DQN-3.json,DQN-3,500000,24,0.6265489477461793,3132.7447387308966,0.7036906981642949
1,DQN-3.json,DQN-3,500000,9,0.674104661643511,3370.523308217555,0.7549056694063461
2,DQN-3.json,DQN-3,500000,0,0.7790092402080125,3895.0462010400624,0.8754809780008161
3,DQN-3.json,DQN-3,500000,3,0.6278149981253176,3139.0749906265883,0.7066525664384435
4,DQN-3.json,DQN-3,500000,18,0.7800624723968763,3900.312361984382,0.8241303253719595
5,DQN-3.json,DQN-3,500000,6,0.7284721197066277,3642.3605985331387,0.7854523241316692
6,DQN-3.json,DQN-3,500000,21,0.746747504933645,3733.7375246682245,0.8603328194890653
7,DQN-3.json,DQN-3,500000,15,0.676263865234437,3381.3193261721854,0.6952745038633427
8,DQN-3.json,DQN-3,500000,12,0.6799639989659026,3399.8199948295132,0.7520383292241443
9,DQN-3.json,DQN-3,500000,27,0.6646243415865641,3323.1217079328208,0.7448342338120313
10,DQN-3.json,DQN-3,500000,10,0.511194575275298,2555.9728763764897,0.5828720742289537
11,DQN-3.json,DQN-3,500000,16,0.7366053749834321,3683.026874917161,0.8342635525905158
12,DQN-3.json,DQN-3,500000,7,0.7959389811953236,3979.694905976618,0.9076533268720778
13,DQN-3.json,DQN-3,500000,1,0.667935694266376,3339.6784713318802,0.7712187117747442
14,DQN-3.json,DQN-3,500000,4,0.6971445898443827,3485.722949221913,0.7655467087015352
15,DQN-3.json,DQN-3,500000,13,0.5078552375434707,2539.2761877173534,0.6662529856777617
16,DQN-3.json,DQN-3,500000,28,0.7264798977122013,3632.399488561007,0.8158686107640153
17,DQN-3.json,DQN-3,500000,22,0.7288580036872506,3644.2900184362534,0.8438767929564672
18,DQN-3.json,DQN-3,500000,19,0.8155457419419113,4077.728709709557,0.9677135879849715
19,DQN-3.json,DQN-3,500000,25,0.6907819094449498,3453.909547224749,0.7761129366678152
20,DQN-3.json,DQN-3,500000,2,0.7951317806695736,3975.6589033478676,0.8734039141116288
21,DQN-3.json,DQN-3,500000,8,0.7107499437997912,3553.749718998956,0.7741042856076514
22,DQN-3.json,DQN-3,500000,5,0.7357802994302052,3678.901497151026,0.8252321629305538
23,DQN-3.json,DQN-3,500000,17,0.681196322636917,3405.981613184585,0.7558464148951249
24,DQN-3.json,DQN-3,500000,11,0.6854868962773155,3427.4344813865773,0.8057374115289782
25,DQN-3.json,DQN-3,500000,26,0.7509894337791616,3754.947168895808,0.9006153753184774
26,DQN-3.json,DQN-3,500000,14,0.5690026305794472,2845.013152897236,0.6611330890677011
27,DQN-3.json,DQN-3,500000,29,0.6909400997439697,3454.700498719849,0.7542886387655043
28,DQN-3.json,DQN-3,500000,20,0.6327769447309384,3163.8847236546917,0.7188500236597102
29,DQN-3.json,DQN-3,500000,23,0.5557079621812326,2778.5398109061634,0.5691829333759936
30,DRQN-5.json,DRQN-5,500000,9,0.9836240079961708,4918.120039980854,1.0765958000356186
31,DRQN-5.json,DRQN-5,500000,18,1.147680974209287,5738.404871046436,1.2645933249452046
32,DRQN-5.json,DRQN-5,500000,3,0.8943136246710679,4471.56812335534,0.9433542407749339
33,DRQN-5.json,DRQN-5,500000,12,0.9815038636197835,4907.519318098917,1.0575997160602941
34,DRQN-5.json,DRQN-5,500000,6,1.0461907242633481,5230.953621316741,1.1364138192188784
35,DRQN-5.json,DRQN-5,500000,24,0.8995238990625573,4497.619495312786,0.9922306141242897
36,DRQN-5.json,DRQN-5,500000,21,1.0582195946091033,5291.0979730455165,1.133530402621206
37,DRQN-5.json,DRQN-5,500000,0,1.1450614280573712,5725.307140286856,1.2419084741118087
38,DRQN-5.json,DRQN-5,500000,15,0.9898164433738239,4949.082216869119,1.062837363253343
39,DRQN-5.json,DRQN-5,500000,27,0.9682182007993532,4841.091003996766,1.0700827706933964
40,DRQN-5.json,DRQN-5,500000,1,0.9718807734070113,4859.4038670350565,1.0757462805863574
41,DRQN-5.json,DRQN-5,500000,13,0.7162632960822238,3581.3164804111193,0.7774650477822658
42,DRQN-5.json,DRQN-5,500000,4,0.9890219691619343,4945.109845809671,1.1141319696452496
43,DRQN-5.json,DRQN-5,500000,7,1.1491617651089818,5745.808825544909,1.2006583510730795
