,Environment,Algorithm,Hyperparameter,Value,AUC,Return,P_AUC
0,DRQN-3.json,DRQN-3,optimizer.alpha,0.001,0.6932473365147529,3466.2366825737654,0.7226522909221191
1,DRQN-7.json,DRQN-7,optimizer.alpha,0.001,0.9546539609747491,4773.269804873746,0.9508343170839015
2,DRQN-5.json,DRQN-5,optimizer.alpha,0.001,0.862406956849145,4312.034784245725,0.8122639260405051
