,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return
0,transfer,DQN-ReLU-transfer,-1,optimizer.alpha,0.001,10.0,4218.6
1,transfer,DQN-ReLU-transfer,0,optimizer.alpha,0.001,9.99,4307.0
2,transfer,DQN-ReLU-transfer,1,optimizer.alpha,0.001,9.992,4542.8
3,transfer,DQN-ReLU-transfer,10,optimizer.alpha,0.001,9.996,4814.6
4,transfer,DQN-ReLU-transfer,100,optimizer.alpha,0.001,5.2059999999999995,2090.6
5,transfer,DQN-ReLU-transfer,101,optimizer.alpha,0.001,8.338000000000001,4084.6
6,transfer,DQN-ReLU-transfer,102,optimizer.alpha,0.001,9.064,5439.2
7,transfer,DQN-ReLU-transfer,103,optimizer.alpha,0.001,6.126,2223.4
8,transfer,DQN-ReLU-transfer,104,optimizer.alpha,0.001,6.628,2368.2
9,transfer,DQN-ReLU-transfer,105,optimizer.alpha,0.0003,4.4719999999999995,1512.0
10,transfer,DQN-ReLU-transfer,106,optimizer.alpha,0.001,6.8420000000000005,2416.6
11,transfer,DQN-ReLU-transfer,107,optimizer.alpha,0.001,8.166,4114.8
12,transfer,DQN-ReLU-transfer,108,optimizer.alpha,0.001,7.414,2685.0
13,transfer,DQN-ReLU-transfer,109,optimizer.alpha,0.001,9.748000000000001,7692.0
14,transfer,DQN-ReLU-transfer,11,optimizer.alpha,0.001,9.998000000000001,4599.0
15,transfer,DQN-ReLU-transfer,110,optimizer.alpha,0.001,8.059999999999999,3771.6
16,transfer,DQN-ReLU-transfer,111,optimizer.alpha,0.001,7.062,3062.6
17,transfer,DQN-ReLU-transfer,112,optimizer.alpha,0.001,6.922,2342.6
18,transfer,DQN-ReLU-transfer,113,optimizer.alpha,0.001,8.364,3881.8
19,transfer,DQN-ReLU-transfer,114,optimizer.alpha,0.001,6.942,2385.0
20,transfer,DQN-ReLU-transfer,115,optimizer.alpha,0.001,6.626,2156.8
21,transfer,DQN-ReLU-transfer,116,optimizer.alpha,0.001,7.696,3122.8
22,transfer,DQN-ReLU-transfer,117,optimizer.alpha,0.001,9.76,7187.4
23,transfer,DQN-ReLU-transfer,118,optimizer.alpha,0.001,7.382000000000001,2838.4
24,transfer,DQN-ReLU-transfer,119,optimizer.alpha,0.001,7.1739999999999995,2572.6
25,transfer,DQN-ReLU-transfer,12,optimizer.alpha,0.001,9.992,5021.8
26,transfer,DQN-ReLU-transfer,120,optimizer.alpha,0.001,9.156,6030.6
27,transfer,DQN-ReLU-transfer,121,optimizer.alpha,0.001,8.796,5091.2
28,transfer,DQN-ReLU-transfer,122,optimizer.alpha,0.001,8.8,4844.0
29,transfer,DQN-ReLU-transfer,123,optimizer.alpha,0.0003,7.298,3343.4
30,transfer,DQN-ReLU-transfer,124,optimizer.alpha,0.001,6.703999999999998,3061.8
31,transfer,DQN-ReLU-transfer,125,optimizer.alpha,0.0003,6.292,2401.2
32,transfer,DQN-ReLU-transfer,126,optimizer.alpha,0.001,8.940000000000001,5082.0
33,transfer,DQN-ReLU-transfer,127,optimizer.alpha,0.001,9.416,6689.4
34,transfer,DQN-ReLU-transfer,128,optimizer.alpha,0.001,9.408,6783.2
35,transfer,DQN-ReLU-transfer,129,optimizer.alpha,0.001,7.694,3621.4
36,transfer,DQN-ReLU-transfer,13,optimizer.alpha,0.001,9.975999999999999,4795.6
37,transfer,DQN-ReLU-transfer,130,optimizer.alpha,0.001,9.559999999999999,6597.4
38,transfer,DQN-ReLU-transfer,131,optimizer.alpha,0.001,9.212,5749.4
39,transfer,DQN-ReLU-transfer,132,optimizer.alpha,0.001,7.102000000000001,2978.6
40,transfer,DQN-ReLU-transfer,133,optimizer.alpha,0.001,8.796000000000001,4979.8
41,transfer,DQN-ReLU-transfer,134,optimizer.alpha,0.001,7.410000000000001,3509.2
