,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return,Successes
0,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-115,115,optimizer.alpha,0.0001,8.916,3637.2,1.0
1,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-120,120,optimizer.alpha,0.0003,9.1,4107.6,1.0
2,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-165,165,optimizer.alpha,3e-05,9.044,4321.6,1.0
3,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-135,135,optimizer.alpha,0.0003,8.908000000000001,5304.4,1.0
4,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-20,20,optimizer.alpha,0.0001,9.08,5783.2,1.0
5,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-40,40,optimizer.alpha,0.0003,9.937999999999999,8045.8,0.9997711670480548
6,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-15,15,optimizer.alpha,0.0003,9.662,5482.6,1.0
7,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-105,105,optimizer.alpha,0.0001,9.020000000000001,3998.4,1.0
8,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-5,5,optimizer.alpha,0.0001,9.154,4150.2,1.0
9,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-20,20,optimizer.alpha,0.001,9.697999999999999,6391.4,1.0
10,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-155,155,optimizer.alpha,0.0003,8.836,3899.8,1.0
11,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-160,160,optimizer.alpha,0.0003,9.33,5694.8,1.0
12,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-145,145,optimizer.alpha,0.001,9.065999999999999,5171.8,0.9987519500780031
13,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-145,145,optimizer.alpha,0.0001,9.389999999999999,5817.4,1.0
14,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-40,40,optimizer.alpha,0.001,9.553999999999998,7546.0,1.0
15,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-155,155,optimizer.alpha,0.0003,8.956,3920.4,1.0
16,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-75,75,optimizer.alpha,0.001,9.244,5091.4,0.9990643073004197
17,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-95,95,optimizer.alpha,0.0001,9.178,5270.0,1.0
18,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-165,165,optimizer.alpha,0.0003,9.161999999999999,4648.0,1.0
19,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-25,25,optimizer.alpha,0.0003,8.958,4976.2,1.0
20,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-85,85,optimizer.alpha,3e-05,8.349999999999998,3802.6,0.9992277992277993
21,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-80,80,optimizer.alpha,0.0001,9.565999999999999,6438.8,1.0
22,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-0,0,optimizer.alpha,3e-05,8.73,3352.2,0.9995192307692307
23,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-145,145,optimizer.alpha,0.0001,9.378,5859.6,1.0
24,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-130,130,optimizer.alpha,0.0003,9.2,5563.6,1.0
25,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-135,135,optimizer.alpha,0.0001,9.220000000000002,5294.4,1.0
26,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-0,0,optimizer.alpha,0.0003,9.693999999999999,3999.2,1.0
27,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-65,65,optimizer.alpha,0.0003,9.53,6805.8,1.0
28,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-110,110,optimizer.alpha,0.001,9.854,7656.0,0.9995335199253631
29,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-35,35,optimizer.alpha,0.0003,9.430000000000001,5678.4,1.0
30,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-0,0,optimizer.alpha,0.0003,8.623999999999999,3476.4,0.9995433789954337
31,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-70,70,optimizer.alpha,0.001,9.966,8839.6,1.0
32,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-170,170,optimizer.alpha,0.001,8.84,3531.0,0.9945345221236822
33,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-100,100,optimizer.alpha,0.0003,9.3,4399.8,0.9996078431372549
34,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-110,110,optimizer.alpha,0.0001,9.594000000000001,7680.6,1.0
35,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-35,35,optimizer.alpha,0.0001,9.166,5384.0,1.0
36,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-115,115,optimizer.alpha,0.001,8.046000000000001,2841.4,0.9945768491573276
37,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-70,70,optimizer.alpha,0.0003,9.946000000000002,9129.2,1.0
38,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-160,160,optimizer.alpha,0.001,9.224,4947.8,0.998418640183346
39,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-25,25,optimizer.alpha,0.0003,9.838,5623.6,0.9996737357259381
40,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-165,165,optimizer.alpha,3e-05,8.940000000000001,4207.4,0.9996268656716417
41,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-95,95,optimizer.alpha,0.0003,9.33,5398.2,1.0
42,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-20,20,optimizer.alpha,0.0003,9.95,6384.6,0.9997210599721061
43,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-115,115,optimizer.alpha,0.0001,9.032,3621.2,0.9995652173913043
44,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-80,80,optimizer.alpha,0.0003,9.586000000000002,6247.8,0.9997333333333334
45,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-125,125,optimizer.alpha,0.0003,9.456,5106.0,1.0
46,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-140,140,optimizer.alpha,0.003,9.578,6272.8,0.9966933166689078
47,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-10,10,optimizer.alpha,0.001,9.693999999999999,4142.4,1.0
48,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-105,105,optimizer.alpha,0.001,8.354,3357.0,0.9980758505298383
49,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-100,100,optimizer.alpha,0.0001,8.592,3835.4,1.0
50,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-50,50,optimizer.alpha,0.001,9.792,8467.4,1.0
51,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-145,145,optimizer.alpha,0.001,9.3,5898.8,1.0
52,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-170,170,optimizer.alpha,0.0003,9.190000000000001,4082.0,0.9991777580597455
53,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-45,45,optimizer.alpha,0.001,9.703999999999999,6458.8,1.0
54,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-120,120,optimizer.alpha,0.001,8.330000000000002,3226.0,0.9961091325469834
55,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-160,160,optimizer.alpha,0.0001,9.25,5460.8,1.0
56,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-125,125,optimizer.alpha,0.001,9.088,4431.2,0.9962577007744325
57,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-70,70,optimizer.alpha,0.0003,9.733999999999998,8880.4,1.0
58,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-30,30,optimizer.alpha,0.0001,9.128,5252.6,1.0
59,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-150,150,optimizer.alpha,0.0003,9.2,4961.4,0.9996527777777778
60,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-120,120,optimizer.alpha,0.0003,9.592000000000002,4355.4,0.9995901639344262
61,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-140,140,optimizer.alpha,0.001,9.857999999999999,6711.4,0.999469593917729
62,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-55,55,optimizer.alpha,0.0001,9.682,7323.8,1.0
63,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-55,55,optimizer.alpha,0.0003,9.946000000000002,7844.4,1.0
64,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-170,170,optimizer.alpha,0.0003,9.32,4301.8,0.9991853360488798
65,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-150,150,optimizer.alpha,0.0001,9.412,4892.4,0.999640933572711
66,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-90,90,optimizer.alpha,0.001,9.832,8252.8,1.0
67,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-100,100,optimizer.alpha,0.0001,9.074000000000002,4124.8,1.0
68,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-135,135,optimizer.alpha,0.0003,9.604,5740.6,1.0
69,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-25,25,optimizer.alpha,0.0003,9.290000000000001,5220.6,1.0
70,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-100,100,optimizer.alpha,0.001,7.691999999999998,2923.2,0.9959535987219381
71,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-80,80,optimizer.alpha,0.001,9.718,6687.2,1.0
72,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-130,130,optimizer.alpha,0.0001,9.594,5656.6,1.0
73,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-60,60,optimizer.alpha,0.0003,9.460000000000003,5984.0,1.0
74,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-95,95,optimizer.alpha,0.0003,9.732000000000001,5742.4,0.9993807915994699
75,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-125,125,optimizer.alpha,0.0001,9.008000000000001,4766.4,0.9996581196581197
76,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-30,30,optimizer.alpha,0.0003,9.368,5492.6,1.0
77,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-40,40,optimizer.alpha,0.001,9.968,7865.4,1.0
78,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-10,10,optimizer.alpha,0.0003,8.728,3712.2,1.0
79,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-130,130,optimizer.alpha,0.001,9.280000000000001,5084.6,0.997955724917629
80,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-65,65,optimizer.alpha,0.0003,9.702,7006.6,1.0
81,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-65,65,optimizer.alpha,0.001,9.478,6274.4,0.9994904458598726
82,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-140,140,optimizer.alpha,0.0003,9.51,7001.6,1.0
83,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-65,65,optimizer.alpha,0.0001,9.398,6584.6,1.0
84,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-140,140,optimizer.alpha,0.0001,9.4,6766.6,1.0
85,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-10,10,optimizer.alpha,0.001,9.727999999999998,4202.8,1.0
86,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-45,45,optimizer.alpha,0.0003,9.856,6357.6,1.0
87,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-30,30,optimizer.alpha,0.0003,9.892,5881.8,1.0
88,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-45,45,optimizer.alpha,0.0001,9.418000000000001,6063.0,1.0
89,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-50,50,optimizer.alpha,0.0003,9.943999999999999,8265.6,1.0
90,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-90,90,optimizer.alpha,0.0003,9.708,8060.8,1.0
91,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-0,0,optimizer.alpha,0.0003,9.304,3833.6,1.0
92,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-75,75,optimizer.alpha,0.001,9.628,5966.0,0.9988040891570303
93,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-75,75,optimizer.alpha,0.0001,9.0,5449.0,1.0
94,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-40,40,optimizer.alpha,0.0003,9.58,7601.8,1.0
95,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-115,115,optimizer.alpha,0.0003,9.402000000000001,4031.6,1.0
96,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-15,15,optimizer.alpha,0.0003,9.968,5515.6,1.0
97,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-5,5,optimizer.alpha,0.0003,9.862,4700.0,1.0
98,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-90,90,optimizer.alpha,0.001,9.834,7735.8,1.0
99,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-75,75,optimizer.alpha,0.0001,9.282,5546.6,0.9994074074074074
100,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-15,15,optimizer.alpha,0.0003,9.094,5088.4,0.9996666666666666
101,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-130,130,optimizer.alpha,0.0003,9.384,5798.8,1.0
102,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-150,150,optimizer.alpha,0.001,9.209999999999999,4359.0,0.9984405458089668
103,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-80,80,optimizer.alpha,0.001,9.826000000000002,6874.8,0.9994673768308922
104,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-85,85,optimizer.alpha,0.0003,9.266,4542.8,0.9996282527881041
105,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-155,155,optimizer.alpha,0.001,8.89,3497.4,0.9986110962609727
106,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-85,85,optimizer.alpha,0.001,9.118,4446.8,1.0
107,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-165,165,optimizer.alpha,0.001,7.7700000000000005,3438.8,0.9756526040562505
108,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-55,55,optimizer.alpha,0.001,9.943999999999999,7446.6,1.0
109,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-90,90,optimizer.alpha,0.0003,9.78,8140.8,1.0
110,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-15,15,optimizer.alpha,0.0001,9.443999999999999,5166.2,1.0
111,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-10,10,optimizer.alpha,0.0001,9.264,3836.8,1.0
112,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-FTA-Gridworld-125,125,optimizer.alpha,0.0003,9.136000000000001,4913.2,1.0
113,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-FTA-Gridworld-70,70,optimizer.alpha,0.0003,9.722,8888.8,1.0
114,gridworld_drqn_2_16_transfer_hyper_sweep,DRQN-ReLU-Gridworld-95,95,optimizer.alpha,0.001,9.218,4782.2,1.0
115,gridworld_drqn_2_16_transfer_hyper_sweep,DRQNAux-ReLU-Gridworld-5,5,optimizer.alpha,0.0003,9.559999999999999,4589.8,1.0
