,Environment,Algorithm,Hyperparameter,Value,AUC,Return,P_AUC
0,DRQN-5.json,DRQN-5,optimizer.alpha,0.0003,0.8577752934635006,4288.876467317503,0.9380990034054791
1,DRQN-3.json,DRQN-3,optimizer.alpha,0.001,0.6243804857390876,3121.902428695438,0.7292338899908456
2,DRQN-7.json,DRQN-7,optimizer.alpha,0.0003,0.9654236303549263,4827.118151774632,1.0575686933816575
