,Environment,Algorithm,AUC_early,AUC_early_low,AUC_early_high,AUC_late,AUC_late_low,AUC_late_high,AUC,AUC_low,AUC_high
0,t_maze_dqn,TMaze-DQN,5.93632,5.573315,6.321695000000001,5.63156,5.223876000000001,6.025534,11.56788,11.081648000000001,12.046212
1,t_maze_drqn_fta_use_all_steps,TMaze-DRQN-fta-use-all-steps-16-2,25.73768,21.468649999999997,29.412381999999997,29.137279999999997,24.984284,32.277643999999995,54.87496,47.10146699999999,61.134603999999996
2,t_maze_drqn_fta_use_all_steps,TMaze-DRQN-fta-use-all-steps-2-16,34.00296,33.76847299999999,34.255447,33.57504,33.37743999999999,33.77099999999999,67.578,67.24030499999999,67.945097
3,t_maze_drqn_fta_use_all_steps,TMaze-DRQN-fta-use-all-steps-1-32,27.355240000000013,14.350837000000029,33.9392,27.377640000000007,14.181437000000027,34.097961999999995,54.732880000000016,28.565679000000042,67.97964799999997
4,t_maze_drqn_fta_use_all_steps,TMaze-DRQN-fta-use-all-steps-4-8,25.830639999999995,22.172540999999992,29.008699999999997,31.41464,27.921678999999997,33.409526,57.245279999999994,51.260446,61.95690999999999
5,t_maze_drqn_fta_use_all_steps,TMaze-DRQN-fta-use-all-steps-8-4,27.36864,23.018394999999998,30.822875,29.924879999999995,25.276452999999997,33.87487899999999,57.29352,48.299519,64.524377
6,t_maze_drqn_fta_use_all_steps,TMaze-DRQN-fta-use-all-steps-32-1,25.708399999999997,23.266833,28.067224000000003,31.080159999999996,29.531602999999997,32.485656,56.78856,53.570434,59.770324999999985
7,t_maze_drqn_fta,TMaze-DRQN-fta-8-4,28.125159999999997,25.262826999999998,30.549217999999993,32.9208,31.028866999999998,34.488182,61.045959999999994,56.908018999999996,64.584002
8,t_maze_drqn_fta,TMaze-DRQN-fta-4-8,22.534799999999997,18.797597999999997,25.813931999999998,31.553359999999994,30.308467999999994,32.543955,54.08815999999999,49.90511199999999,57.88291099999999
9,t_maze_drqn_fta,TMaze-DRQN-fta-2-16,30.99884,30.011839,31.934571000000002,33.665879999999994,33.399513999999996,33.918169,64.66471999999999,63.65078299999999,65.66581599999999
10,t_maze_drqn_fta,TMaze-DRQN-fta-32-1,25.708399999999997,23.174677999999997,28.109424999999998,31.080159999999996,29.570274000000005,32.510768,56.78855999999999,53.57902899999999,59.791245999999994
11,t_maze_drqn_fta,TMaze-DRQN-fta-16-2,23.963319999999996,20.882828999999997,26.583273999999992,28.570559999999997,24.765449,31.412843999999996,52.53387999999999,45.441365999999995,57.69313099999999
12,t_maze_drqn_fta,TMaze-DRQN-fta-1-32,29.174,27.644640999999996,30.573970999999997,33.70291999999999,33.395916,34.013762,62.87691999999999,61.29999800000001,64.348565
13,t_maze_dqn_fta,TMaze-DQN-fta,6.011280000000002,5.637995000000001,6.392899,6.0015600000000004,5.7018390000000005,6.304604,12.01284,11.511478,12.526360000000002
14,t_maze_drqn_use_all_steps,TMaze-DRQN-use-all-steps-32-1,15.534199999999998,12.565628000000004,17.932598,22.454079999999994,19.135365999999998,25.40413999999999,37.988279999999996,33.094062,42.039472999999994
15,t_maze_drqn_use_all_steps,TMaze-DRQN-use-all-steps-1-32,33.91347999999999,33.75343199999999,34.081239999999994,33.751639999999995,33.507594999999995,33.99640399999999,67.66511999999999,67.34811499999999,67.985376
16,t_maze_drqn_use_all_steps,TMaze-DRQN-use-all-steps-4-8,30.878559999999997,28.944634999999995,32.416779,34.7162,34.241511,35.164963,65.59476,63.458873999999994,67.23157599999999
17,t_maze_drqn_use_all_steps,TMaze-DRQN-use-all-steps-16-2,16.71728,12.928513999999996,20.302815,25.934079999999998,22.432610999999994,28.997847999999998,42.651360000000004,36.424275,48.106529
18,t_maze_drqn_use_all_steps,TMaze-DRQN-use-all-steps-8-4,25.60368,21.912398999999997,28.622611999999997,31.012519999999995,27.580227,33.329539,56.6162,49.94336899999999,61.727608
19,t_maze_drqn_use_all_steps,TMaze-DRQN-use-all-steps-2-16,34.056439999999995,33.752511,34.33188499999999,34.087,33.891591999999996,34.27948299999999,68.14344,67.81079899999999,68.46916199999998
20,t_maze_drqn,TMaze-DRQN-1-32,31.771159999999995,30.663184000000005,32.59449000000001,33.96863999999999,33.762958999999995,34.16304699999999,65.73979999999999,64.58739999999999,66.613003
21,t_maze_drqn,TMaze-DRQN-2-16,33.690239999999996,33.111829,34.215147,33.75552,33.379017999999995,34.07532299999999,67.44575999999999,66.79641999999998,68.076736
22,t_maze_drqn,TMaze-DRQN-16-2,15.865719999999996,12.072894,19.407694,19.126039999999996,14.745262999999998,23.088565999999997,34.99176,27.741108999999998,41.695703
23,t_maze_drqn,TMaze-DRQN-32-1,15.534199999999998,12.521327000000003,17.992153999999996,22.454079999999994,19.171345999999996,25.316545999999995,37.98827999999999,33.13006299999999,41.979741
24,t_maze_drqn,TMaze-DRQN-8-4,21.627239999999997,18.245567,24.473681999999993,25.403159999999993,20.497112,29.747623,47.03039999999999,39.582437,53.45433299999999
25,t_maze_drqn,TMaze-DRQN-4-8,21.9476,16.877869,26.507831999999993,27.173439999999996,21.535308,31.82366999999999,49.12104,38.803006999999994,58.09239699999999
