,algorithm,seed,Raw Complexity Reduction,Dynamics Awareness,Diversity,Orthogonality,Sparsity,Complexity Reduction
0,DQN-FTA-GridworldPartial,0,0.014863788,0.38534384965896606,0.7463570844977272,0.5466018319129944,0.8529875,0.88459337
1,DQN-FTA-GridworldPartial,1,0.01533827,0.38028842210769653,0.7490132404276775,0.5456895232200623,0.8541875,0.8809093
2,DQN-FTA-GridworldPartial,2,0.016641997,0.38654130697250366,0.7331483464539272,0.5722916722297668,0.8599359375,0.87078685
3,DQN-FTA-GridworldPartial,3,0.015177408,0.36880695819854736,0.7430275064850158,0.5451257228851318,0.8513953125,0.88215834
4,DQN-FTA-GridworldPartial,4,0.015114322,0.38585954904556274,0.7381315621870514,0.5329557657241821,0.85000625,0.8826481
5,DQN-ReLU-GridworldPartial,0,0.0987752,0.46991580724716187,0.6273616274766289,0.19177211821079254,0.4253125,0.23308146
6,DQN-ReLU-GridworldPartial,1,0.09690566,0.45593202114105225,0.6659240249863636,0.1467878818511963,0.440375,0.2475971
7,DQN-ReLU-GridworldPartial,2,0.07940651,0.4571489095687866,0.6267733301343053,0.1930496245622635,0.4289375,0.38346547
8,DQN-ReLU-GridworldPartial,3,0.11572651,0.4564817547798157,0.6146194322986238,0.18324962258338928,0.53609375,0.101466775
9,DQN-ReLU-GridworldPartial,4,0.12879491,0.4730116128921509,0.6187361404789828,0.2109270542860031,0.46125,0.0
10,DRQN-FTA-GridworldPartial,0,0.012027614,0.4171581268310547,0.7060365067627754,0.5939325094223022,0.85,0.9066142
11,DRQN-FTA-GridworldPartial,1,0.01041795,0.39929699897766113,0.7072418050216663,0.5812422037124634,0.85,0.9191121
12,DRQN-FTA-GridworldPartial,2,0.011613572,0.39152663946151733,0.6982055679233214,0.5950520038604736,0.85,0.90982896
13,DRQN-FTA-GridworldPartial,3,0.011301365,0.37618762254714966,0.7031328233914539,0.596427321434021,0.85,0.912253
14,DRQN-FTA-GridworldPartial,4,0.010943819,0.388027548789978,0.7242960417654469,0.6102316975593567,0.85,0.9150291
15,DRQN-ReLU-GridworldPartial,0,0.09205344,0.6054300665855408,0.5511987797879314,0.1617228239774704,0.556125,0.2852711
16,DRQN-ReLU-GridworldPartial,1,0.0877072,0.5741475522518158,0.565388328961457,0.13745899498462677,0.4645625,0.31901658
17,DRQN-ReLU-GridworldPartial,2,0.07982389,0.5871130526065826,0.5654182382712161,0.1581244170665741,0.48415625,0.38022482
18,DRQN-ReLU-GridworldPartial,3,0.08691596,0.5687057077884674,0.5332238868132795,0.11438654363155365,0.50725,0.32515997
19,DRQN-ReLU-GridworldPartial,4,0.10450823,0.5601286590099335,0.5812988051324431,0.10287843644618988,0.423625,0.18856865
