,Environment,Algorithm,AUC,optimizer.eps,optimizer.alpha,update_freq,target_refresh,optimizer.beta2
0,P1,DQN-11,0.9585235449872268,0.01,0.0003,4,128,0.9
1,P1,DQN-13,0.9594977667104823,1e-08,3e-05,1,128,0.999
2,P1,DQN-15,0.9765114911994109,0.01,0.0003,4,128,0.9
3,P1,DQN-3,0.7183867318621234,1e-08,0.001,4,1,0.9
4,P1,DQN-5,0.8214583292697402,1e-08,0.0001,1,128,0.9
5,P1,DQN-7,0.9258042196190089,0.01,0.0003,4,128,0.9
6,P1,DQN-9,0.9499196609747971,1e-08,0.0003,4,128,0.9
7,P1,DRQN-11,1.0012489033979421,1e-08,0.0003,1,128,0.9
8,P1,DRQN-13,0.988800953322466,0.01,0.0003,1,128,0.9
9,P1,DRQN-15,1.0001579075680407,1e-08,0.0003,1,128,0.9
10,P1,DRQN-3,0.8328038631881981,1e-08,0.001,1,1,0.9
11,P1,DRQN-5,0.949285367432789,0.01,0.0003,1,128,0.999
12,P1,DRQN-7,0.9772482962140476,0.01,0.0003,1,128,0.999
13,P1,DRQN-9,0.9891174819881655,0.01,0.0003,1,128,0.999
