,Environment,Algorithm,Steps,Run,AUC,Return,P_AUC
0,DRQN-11-2.json,DRQN-11-2,500000,0,1.245457650783045,6227.288253915225,1.4183537311898626
1,DRQN-11-1.json,DRQN-11-1,500000,0,1.2500117483770303,6250.058741885152,1.3883093860368225
2,DRQN-13-2.json,DRQN-13-2,500000,0,1.3036675667168838,6518.337833584419,1.5645954581761985
3,DRQN-13-1.json,DRQN-13-1,500000,0,1.3156247958762533,6578.1239793812665,1.5869098901529615
4,DRQN-11.json,DRQN-11,500000,0,1.2760351062743587,6380.175531371793,1.5097791331827792
5,DRQN-5-1.json,DRQN-5-1,500000,0,0.5964932433388793,2982.4662166943967,0.41157582875220394
6,DRQN-7-1.json,DRQN-7-1,500000,0,0.8224555286696301,4112.27764334815,0.41673734886881125
7,DRQN-7-2.json,DRQN-7-2,500000,0,0.9606842285460402,4803.421142730201,0.8268384196106308
8,DRQN-15-2.json,DRQN-15-2,500000,0,1.334049752016998,6670.24876008499,1.5935087328069883
9,DRQN-3-1.json,DRQN-3-1,500000,0,0.689614818771717,3448.0740938585855,0.5452397014713022
10,DRQN-3-2.json,DRQN-3-2,500000,0,0.6383991745679825,3191.9958728399124,0.5680934640268492
11,DRQN-3.json,DRQN-3,500000,0,0.632715003644805,3163.5750182240254,0.533692340876843
12,DRQN-13.json,DRQN-13,500000,0,1.3098873343419968,6549.436671709984,1.5728483172063352
13,DRQN-15-1.json,DRQN-15-1,500000,0,1.3444753480085647,6722.376740042823,1.5968395477799022
14,DRQN-9-1.json,DRQN-9-1,500000,0,1.1651979929556227,5825.989964778113,0.9773267724390534
15,DRQN-5.json,DRQN-5,500000,0,0.6337283924662536,3168.6419623312677,0.4216996499746904
16,DRQN-7.json,DRQN-7,500000,0,0.8990808780215565,4495.404390107782,0.7288098891832352
17,DRQN-9-2.json,DRQN-9-2,500000,0,1.1455574961451445,5727.787480725722,0.8833165307645389
18,DRQN-15.json,DRQN-15,500000,3,1.0807401514266037,5403.700757133019,1.3223502054657537
19,DRQN-15.json,DRQN-15,500000,0,1.3228949371408383,6614.474685704192,1.5901160416363627
20,DRQN-15.json,DRQN-15,500000,1,1.1567981445795457,5783.990722897728,1.407594104370943
21,DRQN-15.json,DRQN-15,500000,2,1.3163767813172909,6581.883906586454,1.557759116027141
22,DRQN-9.json,DRQN-9,500000,0,1.1757138710581014,5878.569355290507,1.107569761158773
23,DRQN-5-2.json,DRQN-5-2,500000,0,0.8749752906111833,4374.8764530559165,0.6914005466742662
