,Environment,Algorithm,Goal,Hyperparameter,Value,AUC,Return,Successes
51,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-50,50,optimizer.alpha,0.001,9.847999999999999,6386.0,0.9916930155866911
52,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-10,10,optimizer.alpha,0.0003,8.924,3532.0,0.9982537307556012
53,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-55,55,optimizer.alpha,0.0003,9.544,5745.8,0.9905232307433026
54,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-100,100,optimizer.alpha,0.0003,9.038,3215.8,0.9925149802111868
55,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-60,60,optimizer.alpha,0.0003,8.926,4804.4,0.9915089574896454
56,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-105,105,optimizer.alpha,0.0003,9.078,3379.4,0.9964097040570344
57,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-65,65,optimizer.alpha,0.0001,9.488,5699.8,0.9853909109438849
58,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-110,110,optimizer.alpha,0.0003,9.431999999999999,7341.0,1.0
59,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-70,70,optimizer.alpha,0.0001,9.788,6347.6,0.9902804851882824
60,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-115,115,optimizer.alpha,0.0001,8.73,2792.2,0.9917128651539601
61,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-75,75,optimizer.alpha,0.001,9.698,4996.2,0.9903229312481798
62,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-120,120,optimizer.alpha,0.0003,9.092,3520.8,0.9963285786474814
63,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-80,80,optimizer.alpha,0.0001,9.864,5568.0,0.98695157363707
64,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-125,125,optimizer.alpha,0.0003,8.152,3165.8,0.9818199226962327
65,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-85,85,optimizer.alpha,3e-05,2.618,369.0,0.23920804191165437
66,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-130,130,optimizer.alpha,0.0003,9.544,5533.4,1.0
67,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-90,90,optimizer.alpha,0.001,9.815999999999999,6074.8,0.9940687543411334
68,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-135,135,optimizer.alpha,0.0003,8.372,4521.2,0.9993495315834146
69,gridworldpartial_transfer_hyper_sweep,DQN-FTA-Gridworld-95,95,optimizer.alpha,0.0001,9.562000000000001,4372.4,0.9871523322028304
70,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-140,140,optimizer.alpha,0.0003,9.616,6653.2,0.9997506234413965
71,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-0,0,optimizer.alpha,0.0003,6.806,1372.0,0.6905154724796991
72,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-145,145,optimizer.alpha,0.0003,9.356,5654.2,0.9997041420118343
73,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-10,10,optimizer.alpha,0.001,6.9719999999999995,1400.8,0.7060380834720607
74,gridworldpartial_transfer_hyper_sweep,DRQN-FTA-Gridworld-15,15,optimizer.alpha,0.0001,9.326,4631.4,0.9996533795493935
75,gridworldpartial_transfer_hyper_sweep,DQN-ReLU-Gridworld-100,100,optimizer.alpha,0.0003,2.6399999999999997,334.2,0.28168672545611423
