,Environment,Algorithm,Goal,Seed,AUC
0,transfer,DQN-FTA-transfer-60,60,4,9.54
1,transfer,DQN-FTA-transfer-60,60,3,9.1
2,transfer,DQN-FTA-transfer-60,60,2,9.11
3,transfer,DQN-FTA-transfer-60,60,0,9.99
4,transfer,DQN-FTA-transfer-60,60,1,9.93
5,transfer,DQN-FTA-transfer-165,165,1,9.49
6,transfer,DQN-FTA-transfer-165,165,3,9.07
7,transfer,DQN-FTA-transfer-165,165,0,3.26
8,transfer,DQN-FTA-transfer-165,165,4,9.23
9,transfer,DQN-FTA-transfer-165,165,2,8.31
10,transfer,DQN-FTA-transfer-50,50,4,9.59
11,transfer,DQN-FTA-transfer-50,50,2,10.0
12,transfer,DQN-FTA-transfer-50,50,0,9.08
13,transfer,DQN-FTA-transfer-50,50,1,10.0
14,transfer,DQN-FTA-transfer-50,50,3,9.83
15,transfer,DQN-FTA-transfer-85,85,4,9.51
16,transfer,DQN-FTA-transfer-85,85,1,9.15
17,transfer,DQN-FTA-transfer-85,85,0,9.76
18,transfer,DQN-FTA-transfer-85,85,2,9.969999999999999
19,transfer,DQN-FTA-transfer-85,85,3,9.17
20,transfer,DQN-FTA-transfer-95,95,4,9.780000000000001
21,transfer,DQN-FTA-transfer-95,95,3,7.11
22,transfer,DQN-FTA-transfer-95,95,1,9.02
23,transfer,DQN-FTA-transfer-95,95,0,9.09
24,transfer,DQN-FTA-transfer-95,95,2,9.16
25,transfer,DQN-FTA-transfer-30,30,4,9.7
26,transfer,DQN-FTA-transfer-30,30,3,10.0
27,transfer,DQN-FTA-transfer-30,30,2,9.969999999999999
28,transfer,DQN-FTA-transfer-30,30,0,9.27
29,transfer,DQN-FTA-transfer-30,30,1,10.0
30,transfer,DQN-FTA-transfer-70,70,2,10.0
31,transfer,DQN-FTA-transfer-70,70,0,10.0
32,transfer,DQN-FTA-transfer-70,70,1,10.0
33,transfer,DQN-FTA-transfer-70,70,4,9.39
34,transfer,DQN-FTA-transfer-70,70,3,9.98
35,transfer,DQN-FTA-transfer-20,20,4,10.0
36,transfer,DQN-FTA-transfer-20,20,2,10.0
37,transfer,DQN-FTA-transfer-20,20,1,10.0
38,transfer,DQN-FTA-transfer-20,20,0,10.0
39,transfer,DQN-FTA-transfer-20,20,3,9.31
40,transfer,DQN-FTA-transfer-155,155,4,9.14
41,transfer,DQN-FTA-transfer-155,155,1,9.41
42,transfer,DQN-FTA-transfer-155,155,2,9.11
43,transfer,DQN-FTA-transfer-155,155,3,9.73
44,transfer,DQN-FTA-transfer-155,155,0,9.71
45,transfer,DQN-FTA-transfer-125,125,2,10.0
46,transfer,DQN-FTA-transfer-125,125,3,9.030000000000001
47,transfer,DQN-FTA-transfer-125,125,1,9.07
48,transfer,DQN-FTA-transfer-125,125,0,9.120000000000001
49,transfer,DQN-FTA-transfer-125,125,4,9.14
50,transfer,DQN-FTA-transfer-5,5,2,10.0
51,transfer,DQN-FTA-transfer-5,5,1,9.57
52,transfer,DQN-FTA-transfer-5,5,3,9.629999999999999
53,transfer,DQN-FTA-transfer-5,5,4,9.879999999999999
54,transfer,DQN-FTA-transfer-5,5,0,9.99
55,transfer,DQN-FTA-transfer-40,40,0,10.0
56,transfer,DQN-FTA-transfer-40,40,2,10.0
57,transfer,DQN-FTA-transfer-40,40,3,9.99
58,transfer,DQN-FTA-transfer-40,40,4,9.129999999999999
59,transfer,DQN-FTA-transfer-40,40,1,10.0
60,transfer,DQN-FTA-transfer-145,145,4,9.5
61,transfer,DQN-FTA-transfer-145,145,1,9.69
62,transfer,DQN-FTA-transfer-145,145,3,10.0
63,transfer,DQN-FTA-transfer-145,145,0,9.94
64,transfer,DQN-FTA-transfer-145,145,2,9.02
65,transfer,DQN-FTA-transfer-10,10,1,9.16
66,transfer,DQN-FTA-transfer-10,10,3,9.42
67,transfer,DQN-FTA-transfer-10,10,2,8.99
68,transfer,DQN-FTA-transfer-10,10,0,9.65
69,transfer,DQN-FTA-transfer-10,10,4,9.66
70,transfer,DQN-FTA-transfer-115,115,2,9.129999999999999
71,transfer,DQN-FTA-transfer-115,115,1,9.23
72,transfer,DQN-FTA-transfer-115,115,4,9.16
73,transfer,DQN-FTA-transfer-115,115,0,9.14
74,transfer,DQN-FTA-transfer-115,115,3,9.79
75,transfer,DQN-FTA-transfer-105,105,1,9.92
76,transfer,DQN-FTA-transfer-105,105,4,9.35
77,transfer,DQN-FTA-transfer-105,105,3,9.36
78,transfer,DQN-FTA-transfer-105,105,0,9.57
79,transfer,DQN-FTA-transfer-105,105,2,9.969999999999999
80,transfer,DQN-FTA-transfer-25,25,4,9.879999999999999
81,transfer,DQN-FTA-transfer-25,25,0,9.96
82,transfer,DQN-FTA-transfer-25,25,3,10.0
83,transfer,DQN-FTA-transfer-25,25,2,9.77
84,transfer,DQN-FTA-transfer-25,25,1,10.0
85,transfer,DQN-FTA-transfer-135,135,2,9.61
86,transfer,DQN-FTA-transfer-135,135,3,9.17
87,transfer,DQN-FTA-transfer-135,135,0,10.0
88,transfer,DQN-FTA-transfer-135,135,4,9.76
89,transfer,DQN-FTA-transfer-135,135,1,9.04
90,transfer,DQN-FTA-transfer-160,160,0,9.74
91,transfer,DQN-FTA-transfer-160,160,3,9.39
92,transfer,DQN-FTA-transfer-160,160,2,9.0
93,transfer,DQN-FTA-transfer-160,160,4,9.6
94,transfer,DQN-FTA-transfer-160,160,1,9.46
95,transfer,DQN-FTA-transfer-170,170,2,9.17
96,transfer,DQN-FTA-transfer-170,170,4,9.01
