,algorithm,seed,Raw Complexity Reduction,Dynamics Awareness,Diversity,Orthogonality,Sparsity,Complexity Reduction
0,DQN-FTA-A,0,0.009733268,0.27074337005615234,0.6238729850444285,0.9518120288848877,0.9986530172413793,0.8401433
1,DQN-FTA-A,1,0.0021941294,0.27448081970214844,0.9243393284773695,0.7984565496444702,0.9994522270114943,0.96396416
2,DQN-FTA-A,2,0.060887475,0.2374478578567505,0.5591169846564699,0.9583120346069336,0.9980992576628352,0.0
3,DQN-FTA-A,3,0.054751914,0.21993416547775269,0.6753030613408622,0.9464314579963684,0.9981411637931035,0.100768864
4,DQN-FTA-A,4,0.009987294,0.2554771900177002,0.7455136716176284,0.9379119873046875,0.9991753472222222,0.8359713
