,Environment,Algorithm,Goal,Seed,AUC,Experiment
67,transfer,DQN-ReLU-transfer-16,17,0,10.0,DQN-ReLU-transfer
68,transfer,DQN-ReLU-transfer-16,17,3,9.99,DQN-ReLU-transfer
69,transfer,DQN-ReLU-transfer-16,17,1,10.0,DQN-ReLU-transfer
70,transfer,DQN-ReLU-transfer-120,121,2,9.18,DQN-ReLU-transfer
71,transfer,DQN-ReLU-transfer-120,121,4,9.17,DQN-ReLU-transfer
72,transfer,DQN-ReLU-transfer-120,121,0,9.14,DQN-ReLU-transfer
73,transfer,DQN-ReLU-transfer-120,121,1,7.96,DQN-ReLU-transfer
74,transfer,DQN-ReLU-transfer-120,121,3,9.71,DQN-ReLU-transfer
75,transfer,DQN-ReLU-transfer-61,62,0,8.03,DQN-ReLU-transfer
76,transfer,DQN-ReLU-transfer-61,62,4,8.44,DQN-ReLU-transfer
77,transfer,DQN-ReLU-transfer-61,62,1,8.22,DQN-ReLU-transfer
78,transfer,DQN-ReLU-transfer-61,62,2,5.08,DQN-ReLU-transfer
79,transfer,DQN-ReLU-transfer-61,62,3,8.39,DQN-ReLU-transfer
80,transfer,DQN-ReLU-vf5-transfer-105,106,4,8.92,DQN-ReLU-vf5-transfer
81,transfer,DQN-ReLU-vf5-transfer-105,106,1,9.53,DQN-ReLU-vf5-transfer
82,transfer,DQN-ReLU-vf5-transfer-105,106,3,9.64,DQN-ReLU-vf5-transfer
83,transfer,DQN-ReLU-vf5-transfer-105,106,2,7.61,DQN-ReLU-vf5-transfer
84,transfer,DQN-ReLU-vf5-transfer-105,106,0,9.1,DQN-ReLU-vf5-transfer
85,transfer,DQN-ReLU-vf5-transfer-149,150,4,9.98,DQN-ReLU-vf5-transfer
86,transfer,DQN-ReLU-vf5-transfer-149,150,0,9.19,DQN-ReLU-vf5-transfer
87,transfer,DQN-ReLU-vf5-transfer-149,150,1,9.95,DQN-ReLU-vf5-transfer
88,transfer,DQN-ReLU-vf5-transfer-149,150,3,10.0,DQN-ReLU-vf5-transfer
89,transfer,DQN-ReLU-vf5-transfer-149,150,2,9.09,DQN-ReLU-vf5-transfer
90,transfer,DQN-ReLU-transfer-95,96,3,8.24,DQN-ReLU-transfer
91,transfer,DQN-ReLU-transfer-95,96,1,8.02,DQN-ReLU-transfer
92,transfer,DQN-ReLU-transfer-95,96,4,4.97,DQN-ReLU-transfer
93,transfer,DQN-ReLU-transfer-95,96,2,2.01,DQN-ReLU-transfer
94,transfer,DQN-ReLU-transfer-95,96,0,9.24,DQN-ReLU-transfer
95,transfer,DQN-ReLU-vf5-transfer-2,3,1,9.99,DQN-ReLU-vf5-transfer
96,transfer,DQN-ReLU-vf5-transfer-2,3,4,9.63,DQN-ReLU-vf5-transfer
97,transfer,DQN-ReLU-vf5-transfer-2,3,0,10.0,DQN-ReLU-vf5-transfer
98,transfer,DQN-ReLU-vf5-transfer-2,3,3,9.87,DQN-ReLU-vf5-transfer
99,transfer,DQN-ReLU-vf5-transfer-2,3,2,9.97,DQN-ReLU-vf5-transfer
100,transfer,DQN-ReLU-vf5-transfer-48,49,4,10.0,DQN-ReLU-vf5-transfer
101,transfer,DQN-ReLU-vf5-transfer-48,49,1,10.0,DQN-ReLU-vf5-transfer
102,transfer,DQN-ReLU-vf5-transfer-48,49,0,9.95,DQN-ReLU-vf5-transfer
103,transfer,DQN-ReLU-vf5-transfer-48,49,3,10.0,DQN-ReLU-vf5-transfer
104,transfer,DQN-ReLU-vf5-transfer-48,49,2,10.0,DQN-ReLU-vf5-transfer
105,transfer,DQN-ReLU-vf5-transfer-12,13,3,9.93,DQN-ReLU-vf5-transfer
106,transfer,DQN-ReLU-vf5-transfer-12,13,1,10.0,DQN-ReLU-vf5-transfer
107,transfer,DQN-ReLU-vf5-transfer-12,13,0,10.0,DQN-ReLU-vf5-transfer
108,transfer,DQN-ReLU-vf5-transfer-12,13,4,10.0,DQN-ReLU-vf5-transfer
109,transfer,DQN-ReLU-vf5-transfer-12,13,2,10.0,DQN-ReLU-vf5-transfer
110,transfer,DQN-ReLU-vf5-transfer-164,165,0,9.99,DQN-ReLU-vf5-transfer
111,transfer,DQN-ReLU-vf5-transfer-164,165,1,9.03,DQN-ReLU-vf5-transfer
112,transfer,DQN-ReLU-vf5-transfer-164,165,2,9.16,DQN-ReLU-vf5-transfer
113,transfer,DQN-ReLU-vf5-transfer-164,165,4,9.71,DQN-ReLU-vf5-transfer
114,transfer,DQN-ReLU-vf5-transfer-164,165,3,9.74,DQN-ReLU-vf5-transfer
115,transfer,DQN-ReLU-vf5-transfer-109,110,4,9.91,DQN-ReLU-vf5-transfer
116,transfer,DQN-ReLU-vf5-transfer-109,110,1,10.0,DQN-ReLU-vf5-transfer
117,transfer,DQN-ReLU-vf5-transfer-109,110,2,9.46,DQN-ReLU-vf5-transfer
118,transfer,DQN-ReLU-vf5-transfer-109,110,0,9.15,DQN-ReLU-vf5-transfer
119,transfer,DQN-ReLU-vf5-transfer-109,110,3,9.88,DQN-ReLU-vf5-transfer
120,transfer,DQN-ReLU-transfer-99,100,4,3.86,DQN-ReLU-transfer
121,transfer,DQN-ReLU-transfer-99,100,0,8.55,DQN-ReLU-transfer
122,transfer,DQN-ReLU-transfer-99,100,2,4.21,DQN-ReLU-transfer
123,transfer,DQN-ReLU-transfer-99,100,1,8.75,DQN-ReLU-transfer
124,transfer,DQN-ReLU-transfer-99,100,3,8.01,DQN-ReLU-transfer
125,transfer,DQN-ReLU-transfer-137,138,3,2.63,DQN-ReLU-transfer
126,transfer,DQN-ReLU-transfer-137,138,4,0.98,DQN-ReLU-transfer
127,transfer,DQN-ReLU-transfer-137,138,1,4.63,DQN-ReLU-transfer
128,transfer,DQN-ReLU-transfer-137,138,0,7.82,DQN-ReLU-transfer
129,transfer,DQN-ReLU-transfer-137,138,2,7.26,DQN-ReLU-transfer
130,transfer,DQN-ReLU-transfer-94,95,0,9.32,DQN-ReLU-transfer
131,transfer,DQN-ReLU-transfer-94,95,4,8.57,DQN-ReLU-transfer
132,transfer,DQN-ReLU-transfer-94,95,1,8.27,DQN-ReLU-transfer
133,transfer,DQN-ReLU-transfer-94,95,3,9.2,DQN-ReLU-transfer
134,transfer,DQN-ReLU-transfer-94,95,2,6.6,DQN-ReLU-transfer
135,transfer,DQN-ReLU-vf5-transfer-112,113,4,9.38,DQN-ReLU-vf5-transfer
136,transfer,DQN-ReLU-vf5-transfer-112,113,2,7.6,DQN-ReLU-vf5-transfer
137,transfer,DQN-ReLU-vf5-transfer-112,113,0,9.99,DQN-ReLU-vf5-transfer
138,transfer,DQN-ReLU-vf5-transfer-112,113,1,8.21,DQN-ReLU-vf5-transfer
139,transfer,DQN-ReLU-vf5-transfer-112,113,3,9.92,DQN-ReLU-vf5-transfer
140,transfer,DQN-ReLU-transfer-40,41,2,9.99,DQN-ReLU-transfer
141,transfer,DQN-ReLU-transfer-40,41,4,9.99,DQN-ReLU-transfer
142,transfer,DQN-ReLU-transfer-40,41,1,9.95,DQN-ReLU-transfer
143,transfer,DQN-ReLU-transfer-40,41,3,10.0,DQN-ReLU-transfer
144,transfer,DQN-ReLU-transfer-40,41,0,9.78,DQN-ReLU-transfer
145,transfer,DQN-ReLU-transfer-98,99,2,0.97,DQN-ReLU-transfer
146,transfer,DQN-ReLU-transfer-98,99,3,5.2,DQN-ReLU-transfer
147,transfer,DQN-ReLU-transfer-98,99,4,1.86,DQN-ReLU-transfer
148,transfer,DQN-ReLU-transfer-98,99,0,9.3,DQN-ReLU-transfer
149,transfer,DQN-ReLU-transfer-98,99,1,7.02,DQN-ReLU-transfer
150,transfer,DQN-ReLU-transfer-0,1,2,9.96,DQN-ReLU-transfer
151,transfer,DQN-ReLU-transfer-0,1,0,10.0,DQN-ReLU-transfer
152,transfer,DQN-ReLU-transfer-0,1,4,10.0,DQN-ReLU-transfer
153,transfer,DQN-ReLU-transfer-0,1,3,10.0,DQN-ReLU-transfer
154,transfer,DQN-ReLU-transfer-0,1,1,9.99,DQN-ReLU-transfer
155,transfer,DQN-ReLU-transfer-41,42,1,9.75,DQN-ReLU-transfer
156,transfer,DQN-ReLU-transfer-41,42,4,9.99,DQN-ReLU-transfer
157,transfer,DQN-ReLU-transfer-41,42,0,10.0,DQN-ReLU-transfer
158,transfer,DQN-ReLU-transfer-41,42,3,9.96,DQN-ReLU-transfer
159,transfer,DQN-ReLU-transfer-41,42,2,9.83,DQN-ReLU-transfer
160,transfer,DQN-ReLU-vf5-transfer-72,73,4,10.0,DQN-ReLU-vf5-transfer
161,transfer,DQN-ReLU-vf5-transfer-72,73,0,10.0,DQN-ReLU-vf5-transfer
