,algorithm,seed,Raw Complexity Reduction,Dynamics Awareness,Diversity,Orthogonality,Sparsity,Complexity Reduction
0,DQN-ReLU-A,0,1.7965363,0.4414442777633667,0.4582176174073551,0.004035759717226,0.8360272988505747,0.30900826169414986
1,DQN-ReLU-A,1,1.1547441,0.4512935280799866,0.4637557274289098,0.0069591552019119,0.7059686302681992,0.5558572164907414
2,DQN-ReLU-A,2,2.3677619,0.4245546460151672,0.3747606313476447,0.0090520344674587,0.7685883620689655,0.08930094472604722
3,DQN-ReLU-A,3,0.92922705,0.5594892799854279,0.5271668220270569,0.0161139816045761,0.6387990900383141,0.6425965817889028
4,DQN-ReLU-A,4,2.5999389,0.3697655797004699,0.5106622996628306,0.0047457027249038,0.8054956896551724,0.0
5,DQNAux-ReLU-A,0,0.1647513,0.6509316265583038,0.4823130768881318,0.3251053094863891,0.7287176724137931,0.9366326262513323
6,DQNAux-ReLU-A,1,0.09893645,0.6090999245643616,0.4528468415481065,0.2442550808191299,0.8897569444444444,0.9619466249764562
7,DQNAux-ReLU-A,2,0.52172905,0.4635751843452453,0.4459240324394991,0.0646125674247741,0.7845725574712644,0.799330265030459
8,DQNAux-ReLU-A,3,0.1561136,0.6933635175228119,0.3231779941109206,0.4927616119384765,0.8383920019157088,0.9399548966323785
9,DQNAux-ReLU-A,4,0.147278,0.7064485549926758,0.5845294101951997,0.5432508587837219,0.7684087643678161,0.9433532841867938
10,DQN-FTA-A,0,0.009733268,0.2707433700561523,0.6238729850444285,0.9518120288848876,0.9986530172413792,0.9962563474087794
11,DQN-FTA-A,1,0.0021941294,0.2744808197021484,0.9243393284773695,0.7984565496444702,0.9994522270114944,0.9991560842449029
12,DQN-FTA-A,2,0.060887475,0.2374478578567505,0.5591169846564699,0.9583120346069336,0.9980992576628352,0.9765811900425814
13,DQN-FTA-A,3,0.054751914,0.2199341654777526,0.6753030613408622,0.9464314579963684,0.9981411637931036,0.978941076653763
14,DQN-FTA-A,4,0.009987294,0.2554771900177002,0.7455136716176284,0.9379119873046876,0.9991753472222222,0.996158642805029
