,Environment,Algorithm,Goal,Seed,AUC
100,transfer,DQN-ReLU-vf5-transfer-48,48,4,10.0
101,transfer,DQN-ReLU-vf5-transfer-48,48,1,10.0
102,transfer,DQN-ReLU-vf5-transfer-48,48,0,9.95
103,transfer,DQN-ReLU-vf5-transfer-48,48,3,10.0
104,transfer,DQN-ReLU-vf5-transfer-48,48,2,10.0
105,transfer,DQN-ReLU-vf5-transfer-12,12,3,9.93
106,transfer,DQN-ReLU-vf5-transfer-12,12,1,10.0
107,transfer,DQN-ReLU-vf5-transfer-12,12,0,10.0
108,transfer,DQN-ReLU-vf5-transfer-12,12,4,10.0
109,transfer,DQN-ReLU-vf5-transfer-12,12,2,10.0
110,transfer,DQN-ReLU-vf5-transfer-164,164,0,9.99
111,transfer,DQN-ReLU-vf5-transfer-164,164,1,9.030000000000001
112,transfer,DQN-ReLU-vf5-transfer-164,164,2,9.16
113,transfer,DQN-ReLU-vf5-transfer-164,164,4,9.71
114,transfer,DQN-ReLU-vf5-transfer-164,164,3,9.74
115,transfer,DQN-ReLU-vf5-transfer-109,109,4,9.91
116,transfer,DQN-ReLU-vf5-transfer-109,109,1,10.0
117,transfer,DQN-ReLU-vf5-transfer-109,109,2,9.46
118,transfer,DQN-ReLU-vf5-transfer-109,109,0,9.15
119,transfer,DQN-ReLU-vf5-transfer-109,109,3,9.879999999999999
120,transfer,DQN-ReLU-transfer-99,99,4,3.86
121,transfer,DQN-ReLU-transfer-99,99,0,8.55
122,transfer,DQN-ReLU-transfer-99,99,2,4.21
123,transfer,DQN-ReLU-transfer-99,99,1,8.75
124,transfer,DQN-ReLU-transfer-99,99,3,8.01
125,transfer,DQN-ReLU-transfer-137,137,3,2.63
126,transfer,DQN-ReLU-transfer-137,137,4,0.9800000000000001
127,transfer,DQN-ReLU-transfer-137,137,1,4.63
128,transfer,DQN-ReLU-transfer-137,137,0,7.82
129,transfer,DQN-ReLU-transfer-137,137,2,7.26
130,transfer,DQN-ReLU-transfer-94,94,0,9.32
131,transfer,DQN-ReLU-transfer-94,94,4,8.57
132,transfer,DQN-ReLU-transfer-94,94,1,8.27
133,transfer,DQN-ReLU-transfer-94,94,3,9.2
134,transfer,DQN-ReLU-transfer-94,94,2,6.6
135,transfer,DQN-ReLU-vf5-transfer-112,112,4,9.38
136,transfer,DQN-ReLU-vf5-transfer-112,112,2,7.6
137,transfer,DQN-ReLU-vf5-transfer-112,112,0,9.99
138,transfer,DQN-ReLU-vf5-transfer-112,112,1,8.21
139,transfer,DQN-ReLU-vf5-transfer-112,112,3,9.92
140,transfer,DQN-ReLU-transfer-40,40,2,9.99
141,transfer,DQN-ReLU-transfer-40,40,4,9.99
142,transfer,DQN-ReLU-transfer-40,40,1,9.95
143,transfer,DQN-ReLU-transfer-40,40,3,10.0
144,transfer,DQN-ReLU-transfer-40,40,0,9.78
145,transfer,DQN-ReLU-transfer-98,98,2,0.97
146,transfer,DQN-ReLU-transfer-98,98,3,5.2
147,transfer,DQN-ReLU-transfer-98,98,4,1.8599999999999999
148,transfer,DQN-ReLU-transfer-98,98,0,9.3
149,transfer,DQN-ReLU-transfer-98,98,1,7.02
150,transfer,DQN-ReLU-transfer-0,0,2,9.959999999999999
151,transfer,DQN-ReLU-transfer-0,0,0,10.0
152,transfer,DQN-ReLU-transfer-0,0,4,10.0
153,transfer,DQN-ReLU-transfer-0,0,3,10.0
154,transfer,DQN-ReLU-transfer-0,0,1,9.99
155,transfer,DQN-ReLU-transfer-41,41,1,9.75
156,transfer,DQN-ReLU-transfer-41,41,4,9.99
157,transfer,DQN-ReLU-transfer-41,41,0,10.0
158,transfer,DQN-ReLU-transfer-41,41,3,9.96
159,transfer,DQN-ReLU-transfer-41,41,2,9.83
160,transfer,DQN-ReLU-vf5-transfer-72,72,4,10.0
161,transfer,DQN-ReLU-vf5-transfer-72,72,0,10.0
162,transfer,DQN-ReLU-vf5-transfer-72,72,1,10.0
163,transfer,DQN-ReLU-vf5-transfer-72,72,3,10.0
164,transfer,DQN-ReLU-vf5-transfer-72,72,2,10.0
165,transfer,DQN-ReLU-vf5-transfer-113,113,3,9.030000000000001
166,transfer,DQN-ReLU-vf5-transfer-113,113,4,10.0
167,transfer,DQN-ReLU-vf5-transfer-113,113,2,9.0
168,transfer,DQN-ReLU-vf5-transfer-113,113,1,9.11
169,transfer,DQN-ReLU-vf5-transfer-113,113,0,9.54
170,transfer,DQN-ReLU-transfer-1,1,4,10.0
171,transfer,DQN-ReLU-transfer-1,1,2,9.99
172,transfer,DQN-ReLU-transfer-1,1,0,10.0
173,transfer,DQN-ReLU-transfer-1,1,1,9.8
174,transfer,DQN-ReLU-transfer-1,1,3,10.0
175,transfer,DQN-ReLU-vf5-transfer-91,91,4,9.07
176,transfer,DQN-ReLU-vf5-transfer-91,91,2,9.98
177,transfer,DQN-ReLU-vf5-transfer-91,91,0,10.0
178,transfer,DQN-ReLU-vf5-transfer-91,91,1,10.0
179,transfer,DQN-ReLU-vf5-transfer-91,91,3,10.0
180,transfer,DQN-ReLU-vf5-transfer-128,128,2,9.39
181,transfer,DQN-ReLU-vf5-transfer-128,128,1,9.93
182,transfer,DQN-ReLU-vf5-transfer-128,128,3,9.99
183,transfer,DQN-ReLU-vf5-transfer-128,128,4,9.99
184,transfer,DQN-ReLU-vf5-transfer-128,128,0,10.0
185,transfer,DQN-ReLU-vf5-transfer-73,73,0,9.29
186,transfer,DQN-ReLU-vf5-transfer-73,73,1,10.0
187,transfer,DQN-ReLU-vf5-transfer-73,73,4,10.0
188,transfer,DQN-ReLU-vf5-transfer-73,73,2,9.16
189,transfer,DQN-ReLU-vf5-transfer-73,73,3,10.0
190,transfer,DQN-ReLU-transfer-136,136,1,5.720000000000001
191,transfer,DQN-ReLU-transfer-136,136,0,7.3
192,transfer,DQN-ReLU-transfer-136,136,4,5.53
193,transfer,DQN-ReLU-transfer-136,136,2,5.84
194,transfer,DQN-ReLU-transfer-136,136,3,7.31
195,transfer,DQN-ReLU-vf5-transfer-3,3,2,9.99
196,transfer,DQN-ReLU-vf5-transfer-3,3,1,10.0
197,transfer,DQN-ReLU-vf5-transfer-3,3,0,10.0
198,transfer,DQN-ReLU-vf5-transfer-3,3,4,10.0
199,transfer,DQN-ReLU-vf5-transfer-3,3,3,9.129999999999999
200,transfer,DQN-ReLU-vf5-transfer-90,90,1,8.72
201,transfer,DQN-ReLU-vf5-transfer-90,90,4,9.379999999999999
202,transfer,DQN-ReLU-vf5-transfer-90,90,2,9.0
203,transfer,DQN-ReLU-vf5-transfer-90,90,0,9.620000000000001
204,transfer,DQN-ReLU-vf5-transfer-90,90,3,9.94
205,transfer,DQN-ReLU-transfer-76,76,1,9.530000000000001
206,transfer,DQN-ReLU-transfer-76,76,2,8.71
207,transfer,DQN-ReLU-transfer-76,76,4,9.11
208,transfer,DQN-ReLU-transfer-76,76,0,9.95
209,transfer,DQN-ReLU-transfer-76,76,3,9.04
210,transfer,DQN-ReLU-transfer-121,121,1,8.35
211,transfer,DQN-ReLU-transfer-121,121,0,9.17
212,transfer,DQN-ReLU-transfer-121,121,4,9.06
213,transfer,DQN-ReLU-transfer-121,121,2,9.64
214,transfer,DQN-ReLU-transfer-121,121,3,9.68
215,transfer,DQN-ReLU-transfer-156,156,3,5.32
216,transfer,DQN-ReLU-transfer-156,156,0,6.74
217,transfer,DQN-ReLU-transfer-156,156,1,3.01
218,transfer,DQN-ReLU-transfer-156,156,4,2.09
219,transfer,DQN-ReLU-transfer-156,156,2,1.7400000000000002
220,transfer,DQN-ReLU-transfer-77,77,2,3.13
221,transfer,DQN-ReLU-transfer-77,77,0,8.780000000000001
222,transfer,DQN-ReLU-transfer-77,77,3,8.99
223,transfer,DQN-ReLU-transfer-77,77,4,8.01
224,transfer,DQN-ReLU-transfer-77,77,1,8.42
225,transfer,DQN-ReLU-vf5-transfer-44,44,4,10.0
226,transfer,DQN-ReLU-vf5-transfer-44,44,3,9.969999999999999
