,algorithm,seed,Complexity Reduction,Dynamics Awareness,Diversity,Orthogonality,Sparsity
0,DQN-ReLU-A,0,0.30900824,0.4414442777633667,0.4582176174073551,0.0040357597172260284,0.8360272988505747
1,DQN-ReLU-A,1,0.5558572,0.4512935280799866,0.4637557274289098,0.006959155201911926,0.7059686302681992
2,DQN-ReLU-A,2,0.08930093,0.42455464601516724,0.3747606313476447,0.009052034467458725,0.7685883620689655
3,DQN-ReLU-A,3,0.6425966,0.5594892799854279,0.5271668220270569,0.01611398160457611,0.6387990900383141
4,DQN-ReLU-A,4,0.0,0.36976557970046997,0.5106622996628306,0.004745702724903822,0.8054956896551724
5,DQNAux-ReLU-A,0,0.93663263,0.6509316265583038,0.48231307688813185,0.32510530948638916,0.7287176724137931
6,DQNAux-ReLU-A,1,0.9619466,0.6090999245643616,0.4528468415481065,0.24425508081912994,0.8897569444444444
7,DQNAux-ReLU-A,2,0.79933023,0.46357518434524536,0.4459240324394991,0.06461256742477417,0.7845725574712644
8,DQNAux-ReLU-A,3,0.9399549,0.6933635175228119,0.32317799411092063,0.49276161193847656,0.8383920019157088
9,DQNAux-ReLU-A,4,0.9433533,0.7064485549926758,0.5845294101951997,0.5432508587837219,0.7684087643678161
