,Environment,Algorithm,Hyperparameter,Value,AUC,Return,P_AUC
0,DRQN-3.json,DRQN-3,optimizer.alpha,0.001,0.6414749518668852,3207.374759334426,0.6273170741254503
1,DRQN-7.json,DRQN-7,optimizer.alpha,0.001,0.93121320412925,4656.066020646251,0.8896436314241116
2,DRQN-5.json,DRQN-5,optimizer.alpha,0.001,0.8355175075872558,4177.58753793628,0.7038213801021941
