,Environment,Algorithm,AUC_early,AUC_early_low,AUC_early_high,AUC_late,AUC_late_low,AUC_late_high,AUC,AUC_low,AUC_high
0,gridworld_drqn,Gridworld-DRQN,0.4600000000000001,0.4199500000000001,0.502,0.46799999999999997,0.42399999999999993,0.514,0.9280000000000002,0.842,1.004
1,gridworld_dqn,Gridworld-DQN,3.9579999999999997,3.7599500000000003,4.148000000000001,5.0,5.0,5.0,8.958000000000002,8.758000000000001,9.148
2,gridworld_drqn_fta,Gridworld-DRQN-fta,0.33,0.272,0.40005,0.356,0.28200000000000003,0.466,0.6859999999999999,0.6220000000000001,0.764
3,gridworld_dqn_fta,Gridworld-DQN-fta,2.508,1.7239999999999998,3.252,5.0,5.0,5.0,7.508,6.712000000000001,8.225999999999999
