,Environment,Algorithm,Steps,Run,AUC,Return,P_AUC
0,DQN-11.json,DQN-11,500000,9,0.9556502132965272,4778.251066482636,1.2343487285567933
1,DQN-11.json,DQN-11,500000,18,1.1357887665230089,5678.943832615044,1.4652324067908318
2,DQN-11.json,DQN-11,500000,0,1.1495345860341097,5747.672930170548,1.4504998327008483
3,DQN-11.json,DQN-11,500000,3,0.8367023537875675,4183.511768937838,1.1655397962671816
4,DQN-11.json,DQN-11,500000,15,1.032098918355305,5160.494591776525,1.2007940310343055
5,DQN-11.json,DQN-11,500000,24,0.9448075834336032,4724.037917168016,1.1793150190237958
6,DQN-11.json,DQN-11,500000,12,0.8771947174029959,4385.97358701498,1.2420157693157516
7,DQN-11.json,DQN-11,500000,6,1.0475541107571207,5237.770553785604,1.3870177802356911
8,DQN-11.json,DQN-11,500000,21,1.04784633999052,5239.2316999526,1.4073419072285869
9,DQN-11.json,DQN-11,500000,27,0.9275896351944042,4637.948175972021,1.2916205264211589
10,DQN-11.json,DQN-11,500000,10,0.7764658541010699,3882.3292705053495,1.03433240156574
11,DQN-11.json,DQN-11,500000,1,0.9657667994814496,4828.833997407248,1.0467527827394711
12,DQN-11.json,DQN-11,500000,16,1.0305374685955715,5152.687342977857,1.3311038687550873
13,DQN-11.json,DQN-11,500000,13,0.7722708212217705,3861.3541061088526,0.9963966366052428
14,DQN-11.json,DQN-11,500000,4,1.0067280507219003,5033.640253609502,1.282010939795578
15,DQN-11.json,DQN-11,500000,7,1.0996067049255915,5498.033524627957,1.485973181130492
16,DQN-11.json,DQN-11,500000,19,1.1011963656656494,5505.981828328247,1.3542437945584178
17,DQN-11.json,DQN-11,500000,22,0.9406693687100712,4703.346843550356,1.3773165372749425
18,DQN-11.json,DQN-11,500000,25,1.0236957408312946,5118.478704156473,1.2162346291553092
19,DQN-11.json,DQN-11,500000,28,1.0312266714840006,5156.133357420003,1.2939429242798823
20,DQN-11.json,DQN-11,500000,5,1.0846563464565342,5423.281732282671,1.4197311652026605
21,DQN-11.json,DQN-11,500000,8,1.0765049609470854,5382.524804735427,1.4320310191933139
22,DQN-11.json,DQN-11,500000,2,1.149769479706523,5748.8473985326145,1.4792807947209805
23,DQN-11.json,DQN-11,500000,29,0.9376397308227955,4688.198654113978,1.2354099939794334
24,DQN-11.json,DQN-11,500000,17,0.9990872821890393,4995.436410945196,1.3298637397930047
25,DQN-11.json,DQN-11,500000,11,1.004397322617816,5021.9866130890805,1.2826583329484347
26,DQN-11.json,DQN-11,500000,26,1.0559738344686729,5279.869172343365,1.2092674376945947
27,DQN-11.json,DQN-11,500000,23,0.8697684674296481,4348.84233714824,1.117005314494923
28,DQN-11.json,DQN-11,500000,20,0.8948477709159269,4474.238854579635,1.1930308624928871
29,DQN-11.json,DQN-11,500000,14,0.7300989678853493,3650.4948394267467,1.039916772763001
30,DRQN-11.json,DRQN-11,500000,12,1.0246408946300263,5123.204473150132,1.1072261982708906
31,DRQN-11.json,DRQN-11,500000,15,1.0522020664596181,5261.01033229809,1.1597345302425588
32,DRQN-11.json,DRQN-11,500000,6,1.1142703452139004,5571.351726069503,1.1987259401121082
33,DRQN-11.json,DRQN-11,500000,24,0.9520040093759115,4760.020046879557,1.0371028289683417
