,Environment,Algorithm,Goal,Steps,Run,AUC,Return,Successes
0,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-105,105,100000,3,8.46,4012.0,1.0
1,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-105,105,100000,0,7.69,3516.0,1.0
2,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-105,105,100000,4,7.76,3445.0,1.0
3,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-105,105,100000,1,6.64,3003.0,1.0
4,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-105,105,100000,2,7.6,3411.0,1.0
5,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-155,155,100000,0,8.379999999999999,3641.0,1.0
6,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-155,155,100000,3,9.219999999999999,4127.0,1.0
7,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-155,155,100000,4,6.13,2580.0,1.0
8,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-155,155,100000,1,7.87,3419.0,1.0
9,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-155,155,100000,2,7.95,3336.0,1.0
10,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-145,145,100000,3,9.06,5774.0,1.0
11,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-145,145,100000,0,8.51,5417.0,1.0
12,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-145,145,100000,4,7.93,4978.0,1.0
13,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-145,145,100000,1,8.79,5731.0,1.0
14,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-145,145,100000,2,9.57,6299.0,1.0
15,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-145,145,100000,0,9.23,5750.0,1.0
16,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-145,145,100000,3,9.0,5747.0,1.0
17,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-145,145,100000,1,7.37,4625.0,1.0
18,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-145,145,100000,4,9.16,5828.0,1.0
19,gridworld_drqn_2_16_scratch,DRQN-FTA-Gridworld-145,145,100000,2,8.969999999999999,5571.0,1.0
20,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-75,75,100000,3,8.51,5465.0,1.0
21,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-75,75,100000,0,8.879999999999999,5574.0,1.0
22,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-75,75,100000,4,8.57,5412.0,1.0
23,gridworld_drqn_2_16_scratch,DRQN-ReLU-Gridworld-75,75,100000,1,8.34,5044.0,1.0
