,Environment,Algorithm,Goal,Steps,Run,AUC,Return,Successes
47,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-20,20,100000,4,9.65,6214.0,1.0
48,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-20,20,100000,1,9.47,6296.0,1.0
49,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-20,20,100000,2,9.93,6490.0,1.0
50,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-155,155,100000,3,8.870000000000001,3864.0,0.997946611909651
51,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-155,155,100000,0,9.29,4207.0,1.0
52,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-155,155,100000,4,8.77,3917.0,1.0
53,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-155,155,100000,1,7.66,3447.0,1.0
54,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-155,155,100000,2,8.129999999999999,3606.0,1.0
55,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-160,160,100000,3,9.98,6103.0,1.0
56,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-160,160,100000,0,9.4,5906.0,0.9985096870342772
57,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-160,160,100000,4,9.45,5892.0,0.9984615384615384
58,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-160,160,100000,1,9.5,5959.0,0.9985074626865672
59,gridworld_drqn_2_16_transfer,DRQNAux-ReLU-Gridworld-160,160,100000,2,9.97,6111.0,1.0
60,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-145,145,100000,0,9.61,5656.0,1.0
61,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-145,145,100000,3,9.57,5953.0,0.998567335243553
62,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-145,145,100000,1,7.06,2190.0,0.9856262833675564
63,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-145,145,100000,4,9.92,5900.0,1.0
64,gridworld_drqn_2_16_transfer,DRQN-ReLU-Gridworld-145,145,100000,2,8.65,4873.0,1.0
65,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-145,145,100000,0,9.03,5770.0,1.0
66,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-145,145,100000,3,9.21,5739.0,1.0
67,gridworld_drqn_2_16_transfer,DRQN-FTA-Gridworld-145,145,100000,4,9.17,5755.0,1.0
