,Environment,Algorithm,Goal,Seed,AUC
0,transfer_no_early_saving,DQN-ReLU-transfer-C,170,2,2.21
1,transfer_no_early_saving,DQN-ReLU-transfer-C,170,4,2.3
2,transfer_no_early_saving,DQN-ReLU-transfer-C,170,1,7.5
3,transfer_no_early_saving,DQN-ReLU-transfer-C,170,3,9.18
4,transfer_no_early_saving,DQN-ReLU-transfer-C,170,0,9.44
5,transfer_no_early_saving,DQN-ReLU-transfer-E,27,0,9.99
6,transfer_no_early_saving,DQN-ReLU-transfer-E,27,3,10.0
7,transfer_no_early_saving,DQN-ReLU-transfer-E,27,2,10.0
8,transfer_no_early_saving,DQN-ReLU-transfer-E,27,1,10.0
9,transfer_no_early_saving,DQN-ReLU-transfer-E,27,4,9.09
10,transfer_no_early_saving,DQN-ReLU-transfer-A,-1,0,10.0
11,transfer_no_early_saving,DQN-ReLU-transfer-A,-1,1,10.0
12,transfer_no_early_saving,DQN-ReLU-transfer-A,-1,4,10.0
13,transfer_no_early_saving,DQN-ReLU-transfer-A,-1,2,10.0
14,transfer_no_early_saving,DQN-ReLU-transfer-A,-1,3,10.0
15,transfer_no_early_saving,DQN-ReLU-transfer-B,171,2,8.65
16,transfer_no_early_saving,DQN-ReLU-transfer-B,171,0,9.47
17,transfer_no_early_saving,DQN-ReLU-transfer-B,171,3,9.48
18,transfer_no_early_saving,DQN-ReLU-transfer-B,171,1,9.22
19,transfer_no_early_saving,DQN-ReLU-transfer-B,171,4,8.17
20,transfer_no_early_saving,DQN-ReLU-transfer-D,119,1,4.58
21,transfer_no_early_saving,DQN-ReLU-transfer-D,119,4,8.46
22,transfer_no_early_saving,DQN-ReLU-transfer-D,119,2,7.800000000000001
23,transfer_no_early_saving,DQN-ReLU-transfer-D,119,3,8.19
24,transfer_no_early_saving,DQN-ReLU-transfer-D,119,0,7.209999999999999
25,transfer_no_early_saving,DQN-ReLU-transfer-F,48,4,9.92
26,transfer_no_early_saving,DQN-ReLU-transfer-F,48,3,9.95
27,transfer_no_early_saving,DQN-ReLU-transfer-F,48,2,9.79
28,transfer_no_early_saving,DQN-ReLU-transfer-F,48,0,9.98
29,transfer_no_early_saving,DQN-ReLU-transfer-F,48,1,9.98
30,transfer,DQN-ReLU-vf5-transfer-E,27,4,7.97
31,transfer,DQN-ReLU-vf5-transfer-E,27,0,9.67
32,transfer,DQN-ReLU-vf5-transfer-E,27,2,9.93
33,transfer,DQN-ReLU-vf5-transfer-E,27,3,8.9
34,transfer,DQN-ReLU-vf5-transfer-E,27,1,9.65
35,transfer,DQN-ReLU-vf5-transfer-B,171,4,9.27
36,transfer,DQN-ReLU-vf5-transfer-B,171,2,9.82
37,transfer,DQN-ReLU-vf5-transfer-B,171,0,9.39
38,transfer,DQN-ReLU-vf5-transfer-B,171,3,9.82
39,transfer,DQN-ReLU-vf5-transfer-B,171,1,9.86
40,transfer,DQN-ReLU-vf5-transfer-D,119,4,10.0
41,transfer,DQN-ReLU-vf5-transfer-D,119,3,9.99
42,transfer,DQN-ReLU-vf5-transfer-D,119,1,7.66
43,transfer,DQN-ReLU-vf5-transfer-D,119,2,7.88
44,transfer,DQN-ReLU-vf5-transfer-D,119,0,9.24
45,transfer,DQN-ReLU-transfer-C,170,4,1.75
46,transfer,DQN-ReLU-transfer-C,170,3,6.88
47,transfer,DQN-ReLU-transfer-C,170,1,1.45
48,transfer,DQN-ReLU-transfer-C,170,2,1.12
49,transfer,DQN-ReLU-transfer-C,170,0,6.52
50,transfer,DQN-ReLU-transfer-A,-1,1,10.0
51,transfer,DQN-ReLU-transfer-A,-1,0,10.0
52,transfer,DQN-ReLU-transfer-A,-1,2,9.99
53,transfer,DQN-ReLU-transfer-A,-1,4,9.99
54,transfer,DQN-ReLU-transfer-A,-1,3,10.0
55,transfer,DQN-ReLU-transfer-B,171,2,7.74
56,transfer,DQN-ReLU-transfer-B,171,0,8.46
57,transfer,DQN-ReLU-transfer-B,171,4,4.82
58,transfer,DQN-ReLU-transfer-B,171,3,9.15
59,transfer,DQN-ReLU-transfer-B,171,1,1.04
60,transfer,DQN-ReLU-transfer-E,27,1,10.0
61,transfer,DQN-ReLU-transfer-E,27,3,10.0
62,transfer,DQN-ReLU-transfer-E,27,4,9.98
63,transfer,DQN-ReLU-transfer-E,27,2,10.0
64,transfer,DQN-ReLU-transfer-E,27,0,10.0
65,transfer,DQN-ReLU-vf5-transfer-C,170,0,0.04
66,transfer,DQN-ReLU-vf5-transfer-C,170,4,9.04
67,transfer,DQN-ReLU-vf5-transfer-C,170,1,7.53
68,transfer,DQN-ReLU-vf5-transfer-C,170,3,8.73
69,transfer,DQN-ReLU-vf5-transfer-C,170,2,9.219999999999999
70,transfer,DQN-ReLU-vf5-transfer-A,-1,0,9.69
71,transfer,DQN-ReLU-vf5-transfer-A,-1,4,10.0
72,transfer,DQN-ReLU-vf5-transfer-A,-1,2,9.39
73,transfer,DQN-ReLU-vf5-transfer-A,-1,1,10.0
74,transfer,DQN-ReLU-vf5-transfer-A,-1,3,9.56
75,transfer,DQN-ReLU-transfer-D,119,2,4.33
76,transfer,DQN-ReLU-transfer-D,119,4,7.1000000000000005
